state_fips,state_name,fb_total,fb_total_moe,fb_2010,fb_2010_moe,fb_2000,fb_2000_moe,fb_pre2000,fb_pre2000_moe,pct_noncitizen,pct_noncitizen_moe,pct_engonly,pct_engonly_moe,mean_wages,mean_wages_moe,fb_2010_wages,fb_2010_wages_moe,fb_2000_wages,fb_2000_wages_moe,fb_pre2000_wages,fb_pre2000_wages_moe,pct_rnt_burden,pct_rnt_burden_moe,fb_2010_burden,fb_2010_burden_moe,fb_2000_burden,fb_2000_burden_moe,fb_pre2000_burden,fb_pre2000_burden_moe
1,Alabama,169066,6916,39276,4007,59703,4998,70087,4842,60.3,2.6,23,2.5,70188,4785,64300,12198,61484,7304,78037,7253,40.5,5.2,39.1,9.4,42.1,8,40,8.5
4,Arizona,924900,18307,173896,11692,226272,9738,524732,12966,56.6,1.1,16.3,0.6,67547,2182,68994,6783,64616,4094,68418,2806,49,2.1,43.8,4.6,53.4,3.6,49,3.1
5,Arkansas,140078,5172,32750,4171,39333,4394,67995,4058,67.8,2.8,19.4,2.4,65248,7266,58739,6217,61210,7820,69461,12631,25.4,4.7,20,8.1,30.8,11.1,26.2,7.9
6,California,10653414,47294,1641330,30215,2368287,31073,6643797,42112,48.4,0.3,10.9,0.2,93701,826,98927,2215,88231,2051,94577,876,56,0.6,50,1.5,58.2,1.2,56.5,0.9
8,Colorado,550768,12818,117439,8715,154000,7711,279329,8788,57.5,1.3,18.8,1,78806,3160,75296,12646,69210,5010,83916,4345,52,2.9,43.8,7.5,54.7,4.8,53.8,3.9
9,Connecticut,530245,12137,110448,7233,142992,7188,276805,10326,48.6,1.7,24.4,1.2,96830,3911,90851,10510,92461,7448,100102,5203,52.3,2.7,40.8,5.6,59.6,5,53.9,4.6
10,Delaware,98493,6244,25205,3631,32272,4224,41016,3933,53.3,3.1,20.1,2.9,93120,9994,77843,11522,98323,27387,95499,12966,39.2,6.3,32,10.2,43.3,11.7,41.5,13.1
11,District of Columbia,101860,5844,36071,4695,29762,3000,36027,2959,61.8,3,28.8,2.9,124988,8687,107662,14662,118384,14583,142131,16082,49,5.2,52.9,8.1,45.4,9.6,47.8,9.7
12,Florida,4379341,36643,1031722,26650,1108713,25746,2238906,29105,44.8,0.6,19.1,0.5,72074,1100,59568,2078,68803,2749,76839,1585,59.1,1.1,60.3,2.3,59.9,2,57.9,1.5
13,Georgia,1065968,19136,243600,12670,335431,13016,486937,10047,56.4,1.2,20.3,1,84018,2609,74743,6949,77480,3836,90289,3801,46.5,2.3,43.7,3.9,51.6,4.1,43.8,4.1
15,Hawaii,265565,10755,52232,6684,54793,5124,158540,7197,39.4,2.3,15.4,1.3,95237,4460,75278,13955,90932,12964,98999,5657,51.7,4,62.9,10.2,51.7,10.1,49.4,5
16,Idaho,101140,7182,23197,3827,26949,4709,50994,4156,60.3,3.6,19.6,3.1,56116,4894,38399,7288,56642,10255,61235,5748,32.7,7.5,40.9,13.4,30.9,13.2,28.2,10.8
17,Illinois,1832421,19648,327523,14522,449969,14361,1054929,14722,49.7,0.8,11.6,0.4,86214,1785,77211,4996,79638,3189,90393,2349,46.4,1.6,40.8,3,49,3,47.7,2.3
18,Indiana,351233,10753,113190,6679,103043,7420,135000,7293,61.6,1.7,18.2,1.6,74168,4148,54275,5257,69446,6699,86125,6272,37.3,3.3,38,5.6,38.8,6.8,35,6.9
19,Iowa,166728,6675,54146,5087,50870,3969,61712,4113,60.6,2.3,16.2,1.6,72434,4064,62244,10866,73027,8776,77757,6361,36.1,5.4,35.9,9.1,37.6,9,34.6,8.4
20,Kansas,200557,6935,49438,5471,57080,4307,94039,5183,59.5,2.3,12.5,1.2,68448,3219,54011,6555,65066,5264,74880,4532,36.1,4.1,35.1,6.8,35.6,7.5,37.7,7
21,Kentucky,169085,7898,61408,5708,53092,5138,54585,4950,58.6,2.6,18.8,1.6,74280,6288,58732,8291,70363,12488,89366,10339,37,4.4,34.8,6.8,39.9,9,36.9,7.6
22,Louisiana,191403,8271,55797,6116,57282,4760,78324,4645,61.2,2.3,17,1.7,69059,6329,52150,7284,60851,7999,82494,10559,47.2,5.1,46.8,8.6,45.6,8.5,49.6,6.6
24,Maryland,927936,17540,216723,10862,284261,10324,426952,10717,47.5,1.2,20.2,1,101651,2181,79307,4893,87597,3689,114558,2829,51.1,2.4,50.6,4.9,50.8,4.6,51.6,3.8
25,Massachusetts,1156472,19090,325960,13943,289735,11001,540777,12834,47.6,1.1,18.1,0.7,103150,2728,85989,5783,91895,4237,113796,4221,50.1,1.9,49.2,3.7,51.7,3,49.5,2.5
26,Michigan,703806,16780,211822,11327,172254,8797,319730,8354,49.1,1.2,20,0.8,90470,2550,76411,4659,84744,5072,99206,4174,40.3,2.3,39.9,3.6,34.7,4.9,44.5,3.5
27,Minnesota,486243,10464,133671,9379,145076,7526,207496,6626,47.6,1.7,21.1,1.3,81672,3292,62640,6349,66624,4645,97534,5491,45.4,2.9,45.5,5.6,45.5,4.8,45.4,4.3
28,Mississippi,65718,4949,20406,3269,15866,2865,29446,3155,57.4,5.3,19.6,3.2,62440,6898,52051,9560,56641,11305,67220,10284,42.4,10,27.1,16.2,44.8,17.3,47.9,12.9
29,Missouri,257102,9567,70798,5878,75164,6062,111140,6351,51.8,2,21.2,1.5,83310,6477,65540,14740,73493,10505,97684,8767,40.6,4,41.1,7.5,43,6.3,38,6.5
31,Nebraska,143331,6167,36995,4402,49928,4990,56408,3637,60.7,3,10.8,1.3,66224,5115,51281,7782,61662,8241,75075,6567,32.3,5.4,36.3,8,31.5,8.3,29.6,8.5
32,Nevada,596019,12835,90700,8336,165384,6134,339935,9496,50.8,1.2,12.6,0.9,69149,2618,60163,5069,63875,3711,72685,3446,45.5,3.1,37.5,6.7,45.2,4.7,47.8,4
33,New Hampshire,83167,5297,23927,3337,16525,2958,42715,3100,47.5,3.5,29.3,2.7,102722,8788,59315,10886,112435,25348,117676,13341,46,7,51.2,10.6,39.6,18.8,42.5,11.3
34,New Jersey,2055062,24340,444484,17177,537006,17680,1073572,18245,44.7,0.8,16.3,0.5,104598,1847,90885,4612,95373,2938,111844,2426,50.1,1.6,41.8,2.7,53.6,2.3,51.6,2.4
35,New Mexico,195508,10145,34982,5429,49586,4836,110940,6445,58.6,2.4,13.4,1.8,57942,4608,64014,17725,50468,5172,59750,5206,43.5,5,27.7,9.3,47.8,9.5,47.9,7.1
36,New York,4540381,36548,903851,22486,1110048,23130,2526482,24441,43.7,0.5,23.9,0.4,94151,1468,91336,3960,85233,3056,97951,1876,54.5,0.8,51.9,1.9,57,1.5,54.2,1
37,North Carolina,829416,17576,194182,11836,263460,11692,371774,10873,61.5,1.3,18.9,0.9,72947,1892,74277,5131,62648,3512,78707,2764,43.8,2.4,34.1,4.5,49.1,3.9,45.9,3.9
39,Ohio,528291,18004,173751,13577,139591,8352,214949,7898,48.8,1.6,20.8,1,82974,3088,65678,3843,74478,4825,97072,5763,39.8,2.9,36.2,4.1,43.6,5.7,41.3,4.7
40,Oklahoma,223883,7211,60068,5424,60788,4442,103027,4602,64.4,1.6,15.3,1.4,63436,4517,53202,7875,55474,4803,70625,6674,39.2,4.1,38.3,7,42.1,7.4,38,5.9
41,Oregon,408718,12712,86365,8665,99056,7807,223297,9549,54.6,1.9,20.9,1.3,81553,3925,71435,7536,79199,9686,84584,4430,47.5,3.4,38.6,6.6,53.6,6.7,47.7,4.5
42,Pennsylvania,893769,18083,234271,13234,248173,10578,411325,11486,47.4,1.1,22.7,0.9,90696,2741,70434,4510,84369,4914,101284,4520,44,2.2,40.7,3.6,45.2,4.3,45.9,3.7
44,Rhode Island,147017,6555,36664,5112,34245,3725,76108,4936,46.2,3.3,16.3,2,70112,5272,65350,11919,54450,4999,78290,6717,47.4,4.8,48.8,10.1,41.3,9.2,50.5,6.8
45,South Carolina,244294,8606,57638,6193,78328,5821,108328,6770,56.5,2.2,22,1.6,69307,4292,62527,7592,60582,5547,76217,6735,42.7,4.9,42.8,7.7,45.2,7.8,39.9,8.3
47,Tennessee,347754,11957,99066,7698,121640,7707,127048,6886,62.7,1.9,20.5,1.6,69460,3267,61528,7154,62913,5569,78552,5505,46.8,3.4,40.1,6,51.4,5.8,47.7,6.5
48,Texas,4854140,42073,1113564,32912,1305451,27151,2435125,32812,62.7,0.6,10.4,0.3,73313,931,69065,2613,69865,2028,75975,1257,47.8,1.1,44.2,2,50.5,2.1,48.1,1.6
49,Utah,269239,7865,65378,6784,76223,6487,127638,5505,61,2,17.1,1.4,66844,2796,57717,7450,63052,4792,71272,4053,45.3,3.8,49.1,8.1,46.5,7,42.4,6.4
51,Virginia,1062370,16028,260339,14034,310808,11630,491223,13157,47.8,1.2,16.5,0.8,105968,3002,82515,6223,96175,5929,117157,4334,49.6,2.1,50.8,4.1,50.9,3.8,47.5,3.5
53,Washington,1060153,17490,259837,12394,294220,11461,506096,10754,52.1,1,18,0.8,99776,2676,111866,7048,98909,5648,96386,3603,45.8,2.1,37.8,4,49.3,3.7,48.1,3.5
55,Wisconsin,288052,9397,68001,6443,81999,6796,138052,6420,53.4,2,22.5,1.4,82638,4453,66064,6317,81289,9240,88893,6682,35.9,3.6,26.6,5.6,43,6.5,37.8,5.6
